category,year,import_value_zar,is_partial_year,yoy_growth_pct,category_label,source
apparel,2021,28060843370,False,,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,2022,33522083378,False,19.46,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,2023,33429666973,False,-0.28,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,2024,36013282609,False,7.73,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,2025,38141718150,False,5.91,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,2026,14637017271,True,,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
basket_total,2021,135137199444,False,,E-commerce import basket (all five categories),"South African Revenue Service (SARS), Trade Statistics"
basket_total,2022,162026203917,False,19.9,E-commerce import basket (all five categories),"South African Revenue Service (SARS), Trade Statistics"
basket_total,2023,164975210551,False,1.82,E-commerce import basket (all five categories),"South African Revenue Service (SARS), Trade Statistics"
basket_total,2024,171882587262,False,4.19,E-commerce import basket (all five categories),"South African Revenue Service (SARS), Trade Statistics"
basket_total,2025,184154354138,False,7.14,E-commerce import basket (all five categories),"South African Revenue Service (SARS), Trade Statistics"
basket_total,2026,73065585130,True,,E-commerce import basket (all five categories),"South African Revenue Service (SARS), Trade Statistics"
beauty,2021,6927312070,False,,"Beauty, cosmetics & fragrance","South African Revenue Service (SARS), Trade Statistics"
beauty,2022,8262193855,False,19.27,"Beauty, cosmetics & fragrance","South African Revenue Service (SARS), Trade Statistics"
beauty,2023,9458492166,False,14.48,"Beauty, cosmetics & fragrance","South African Revenue Service (SARS), Trade Statistics"
beauty,2024,10253716644,False,8.41,"Beauty, cosmetics & fragrance","South African Revenue Service (SARS), Trade Statistics"
beauty,2025,10580519473,False,3.19,"Beauty, cosmetics & fragrance","South African Revenue Service (SARS), Trade Statistics"
beauty,2026,4244264010,True,,"Beauty, cosmetics & fragrance","South African Revenue Service (SARS), Trade Statistics"
consumer_electronics,2021,81166948852,False,,Consumer electronics,"South African Revenue Service (SARS), Trade Statistics"
consumer_electronics,2022,96454840829,False,18.84,Consumer electronics,"South African Revenue Service (SARS), Trade Statistics"
consumer_electronics,2023,99451332941,False,3.11,Consumer electronics,"South African Revenue Service (SARS), Trade Statistics"
consumer_electronics,2024,99585921310,False,0.14,Consumer electronics,"South African Revenue Service (SARS), Trade Statistics"
consumer_electronics,2025,109728133444,False,10.18,Consumer electronics,"South African Revenue Service (SARS), Trade Statistics"
consumer_electronics,2026,45828294637,True,,Consumer electronics,"South African Revenue Service (SARS), Trade Statistics"
footwear,2021,12676220928,False,,Footwear,"South African Revenue Service (SARS), Trade Statistics"
footwear,2022,16632474531,False,31.21,Footwear,"South African Revenue Service (SARS), Trade Statistics"
footwear,2023,15440392228,False,-7.17,Footwear,"South African Revenue Service (SARS), Trade Statistics"
footwear,2024,18108640854,False,17.28,Footwear,"South African Revenue Service (SARS), Trade Statistics"
footwear,2025,17550731768,False,-3.08,Footwear,"South African Revenue Service (SARS), Trade Statistics"
footwear,2026,5645719699,True,,Footwear,"South African Revenue Service (SARS), Trade Statistics"
toys_games_sport,2021,6305874224,False,,"Toys, games & sporting goods","South African Revenue Service (SARS), Trade Statistics"
toys_games_sport,2022,7154611324,False,13.46,"Toys, games & sporting goods","South African Revenue Service (SARS), Trade Statistics"
toys_games_sport,2023,7195326243,False,0.57,"Toys, games & sporting goods","South African Revenue Service (SARS), Trade Statistics"
toys_games_sport,2024,7921025845,False,10.09,"Toys, games & sporting goods","South African Revenue Service (SARS), Trade Statistics"
toys_games_sport,2025,8153251303,False,2.93,"Toys, games & sporting goods","South African Revenue Service (SARS), Trade Statistics"
toys_games_sport,2026,2710289513,True,,"Toys, games & sporting goods","South African Revenue Service (SARS), Trade Statistics"
