category,year,month,import_value_zar,category_label,source
apparel,2021,1,2034867733,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,2021,2,2479006703,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,2021,3,2935690603,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,2021,4,2003307684,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,2021,5,1762789729,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,2021,6,1857142407,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,2021,7,2130694023,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,2021,8,2300766551,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,2021,9,2637725922,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,2021,10,2911431594,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,2021,11,2625036324,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,2021,12,2382384097,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,2022,1,2380698880,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,2022,2,3111536821,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,2022,3,2924602881,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,2022,4,2360388391,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,2022,5,2184223487,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,2022,6,2578008732,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,2022,7,2767827692,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,2022,8,3128693602,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,2022,9,3391933525,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,2022,10,2748835642,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,2022,11,3050301737,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,2022,12,2895031988,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,2023,1,3231159427,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,2023,2,3143772703,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,2023,3,2947903317,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,2023,4,2377493757,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,2023,5,2265520690,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
