category,month,share_of_year_pct,is_peak_month,category_label,source
apparel,1,7.88,False,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,2,8.89,False,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,3,9.16,False,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,4,7.54,False,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,5,6.62,False,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,6,7.11,False,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,7,8.48,False,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,8,8.64,False,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,9,9.45,False,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,10,9.69,True,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,11,8.78,False,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
apparel,12,7.76,False,Apparel & clothing,"South African Revenue Service (SARS), Trade Statistics"
basket_total,1,8.3,False,E-commerce import basket (all five categories),"South African Revenue Service (SARS), Trade Statistics"
basket_total,2,7.77,False,E-commerce import basket (all five categories),"South African Revenue Service (SARS), Trade Statistics"
basket_total,3,8.48,False,E-commerce import basket (all five categories),"South African Revenue Service (SARS), Trade Statistics"
basket_total,4,7.8,False,E-commerce import basket (all five categories),"South African Revenue Service (SARS), Trade Statistics"
basket_total,5,7.66,False,E-commerce import basket (all five categories),"South African Revenue Service (SARS), Trade Statistics"
basket_total,6,7.35,False,E-commerce import basket (all five categories),"South African Revenue Service (SARS), Trade Statistics"
basket_total,7,8.09,False,E-commerce import basket (all five categories),"South African Revenue Service (SARS), Trade Statistics"
basket_total,8,8.69,False,E-commerce import basket (all five categories),"South African Revenue Service (SARS), Trade Statistics"
basket_total,9,8.69,False,E-commerce import basket (all five categories),"South African Revenue Service (SARS), Trade Statistics"
basket_total,10,9.58,True,E-commerce import basket (all five categories),"South African Revenue Service (SARS), Trade Statistics"
basket_total,11,9.35,False,E-commerce import basket (all five categories),"South African Revenue Service (SARS), Trade Statistics"
basket_total,12,8.25,False,E-commerce import basket (all five categories),"South African Revenue Service (SARS), Trade Statistics"
beauty,1,7.74,False,"Beauty, cosmetics & fragrance","South African Revenue Service (SARS), Trade Statistics"
beauty,2,7.1,False,"Beauty, cosmetics & fragrance","South African Revenue Service (SARS), Trade Statistics"
beauty,3,7.94,False,"Beauty, cosmetics & fragrance","South African Revenue Service (SARS), Trade Statistics"
beauty,4,8.32,False,"Beauty, cosmetics & fragrance","South African Revenue Service (SARS), Trade Statistics"
beauty,5,8.66,False,"Beauty, cosmetics & fragrance","South African Revenue Service (SARS), Trade Statistics"
beauty,6,7.6,False,"Beauty, cosmetics & fragrance","South African Revenue Service (SARS), Trade Statistics"
beauty,7,8.37,False,"Beauty, cosmetics & fragrance","South African Revenue Service (SARS), Trade Statistics"
beauty,8,9.69,True,"Beauty, cosmetics & fragrance","South African Revenue Service (SARS), Trade Statistics"
beauty,9,8.93,False,"Beauty, cosmetics & fragrance","South African Revenue Service (SARS), Trade Statistics"
beauty,10,9.59,False,"Beauty, cosmetics & fragrance","South African Revenue Service (SARS), Trade Statistics"
beauty,11,8.15,False,"Beauty, cosmetics & fragrance","South African Revenue Service (SARS), Trade Statistics"
beauty,12,7.92,False,"Beauty, cosmetics & fragrance","South African Revenue Service (SARS), Trade Statistics"
consumer_electronics,1,8.62,False,Consumer electronics,"South African Revenue Service (SARS), Trade Statistics"
consumer_electronics,2,7.54,False,Consumer electronics,"South African Revenue Service (SARS), Trade Statistics"
consumer_electronics,3,8.71,False,Consumer electronics,"South African Revenue Service (SARS), Trade Statistics"
consumer_electronics,4,8.29,False,Consumer electronics,"South African Revenue Service (SARS), Trade Statistics"
consumer_electronics,5,8.09,False,Consumer electronics,"South African Revenue Service (SARS), Trade Statistics"
consumer_electronics,6,7.2,False,Consumer electronics,"South African Revenue Service (SARS), Trade Statistics"
consumer_electronics,7,7.63,False,Consumer electronics,"South African Revenue Service (SARS), Trade Statistics"
consumer_electronics,8,8.11,False,Consumer electronics,"South African Revenue Service (SARS), Trade Statistics"
consumer_electronics,9,8.0,False,Consumer electronics,"South African Revenue Service (SARS), Trade Statistics"
consumer_electronics,10,9.47,False,Consumer electronics,"South African Revenue Service (SARS), Trade Statistics"
consumer_electronics,11,9.93,True,Consumer electronics,"South African Revenue Service (SARS), Trade Statistics"
consumer_electronics,12,8.42,False,Consumer electronics,"South African Revenue Service (SARS), Trade Statistics"
footwear,1,8.6,False,Footwear,"South African Revenue Service (SARS), Trade Statistics"
footwear,2,8.02,False,Footwear,"South African Revenue Service (SARS), Trade Statistics"
footwear,3,6.57,False,Footwear,"South African Revenue Service (SARS), Trade Statistics"
footwear,4,5.88,False,Footwear,"South African Revenue Service (SARS), Trade Statistics"
footwear,5,6.76,False,Footwear,"South African Revenue Service (SARS), Trade Statistics"
footwear,6,8.31,False,Footwear,"South African Revenue Service (SARS), Trade Statistics"
footwear,7,9.79,False,Footwear,"South African Revenue Service (SARS), Trade Statistics"
footwear,8,10.64,True,Footwear,"South African Revenue Service (SARS), Trade Statistics"
footwear,9,10.0,False,Footwear,"South African Revenue Service (SARS), Trade Statistics"
footwear,10,9.24,False,Footwear,"South African Revenue Service (SARS), Trade Statistics"
footwear,11,7.75,False,Footwear,"South African Revenue Service (SARS), Trade Statistics"
footwear,12,8.43,False,Footwear,"South African Revenue Service (SARS), Trade Statistics"
toys_games_sport,1,6.33,False,"Toys, games & sporting goods","South African Revenue Service (SARS), Trade Statistics"
toys_games_sport,2,6.15,False,"Toys, games & sporting goods","South African Revenue Service (SARS), Trade Statistics"
toys_games_sport,3,7.03,False,"Toys, games & sporting goods","South African Revenue Service (SARS), Trade Statistics"
toys_games_sport,4,6.13,False,"Toys, games & sporting goods","South African Revenue Service (SARS), Trade Statistics"
toys_games_sport,5,7.37,False,"Toys, games & sporting goods","South African Revenue Service (SARS), Trade Statistics"
toys_games_sport,6,8.23,False,"Toys, games & sporting goods","South African Revenue Service (SARS), Trade Statistics"
toys_games_sport,7,8.31,False,"Toys, games & sporting goods","South African Revenue Service (SARS), Trade Statistics"
toys_games_sport,8,10.79,False,"Toys, games & sporting goods","South African Revenue Service (SARS), Trade Statistics"
toys_games_sport,9,11.11,True,"Toys, games & sporting goods","South African Revenue Service (SARS), Trade Statistics"
toys_games_sport,10,11.02,False,"Toys, games & sporting goods","South African Revenue Service (SARS), Trade Statistics"
toys_games_sport,11,9.28,False,"Toys, games & sporting goods","South African Revenue Service (SARS), Trade Statistics"
toys_games_sport,12,8.27,False,"Toys, games & sporting goods","South African Revenue Service (SARS), Trade Statistics"
